TradingDate,TradingTimeHour,ID,min(Last),avg(Last),max(Last),count(1)
2021-11-08,10,AAA.FR,11.7,11.7,11.7,1
2021-11-08,16,AAA.FR,11.5,11.5,11.5,1
2021-11-09,10,AAA.FR,11.4,11.66,12.0,5
2021-11-09,11,AAA.FR,12.3,12.366666666666667,12.5,3
2021-11-10,09,AAA.FR,11.9,11.9,11.9,1
2021-11-10,11,AAA.FR,11.6,11.6,11.6,1
2021-11-10,12,AAA.FR,11.6,11.7,11.8,2
2021-11-10,13,AAA.FR,11.6,11.6,11.6,2
2021-11-10,14,AAA.FR,11.8,11.8,11.8,1
2021-11-10,15,AAA.FR,11.8,11.8,11.8,1
2021-11-11,09,AAA.FR,11.5,11.75,11.9,4
2021-11-11,10,AAA.FR,11.5,11.65,11.8,2
2021-11-11,17,AAA.FR,11.5,11.5,11.5,1
2021-11-12,11,AAA.FR,11.5,11.5,11.5,1
2021-11-12,14,AAA.FR,11.5,11.5,11.5,1
2021-11-12,15,AAA.FR,11.5,11.5,11.5,1
2021-11-08,09,ABEO.FR,14.35,14.792105263157895,15.2,19
2021-11-08,10,ABEO.FR,14.6,14.6,14.6,1
2021-11-08,11,ABEO.FR,14.5,14.570000000000002,14.65,5
2021-11-08,13,ABEO.FR,14.5,14.5,14.5,1
2021-11-08,17,ABEO.FR,14.5,14.5,14.5,1
2021-11-09,09,ABEO.FR,14.5,14.533333333333333,14.55,3
2021-11-09,11,ABEO.FR,14.55,14.7,14.8,4
2021-11-09,12,ABEO.FR,14.8,14.8,14.8,1
2021-11-09,13,ABEO.FR,14.8,14.8,14.8,1
2021-11-09,15,ABEO.FR,14.7,14.7,14.7,1
2021-11-09,16,ABEO.FR,14.45,14.578571428571427,14.7,7
2021-11-09,17,ABEO.FR,14.45,14.475,14.5,2
2021-11-10,09,ABEO.FR,14.45,14.45,14.45,1
2021-11-10,11,ABEO.FR,14.5,14.5,14.5,1
2021-11-10,12,ABEO.FR,14.45,14.45,14.45,1
2021-11-10,16,ABEO.FR,14.5,14.5,14.5,2
2021-11-10,17,ABEO.FR,14.45,14.45,14.45,2
2021-11-11,09,ABEO.FR,14.55,14.55,14.55,4
2021-11-11,10,ABEO.FR,14.55,14.64,14.75,5
2021-11-11,11,ABEO.FR,14.6,14.6,14.6,1
2021-11-11,12,ABEO.FR,14.7,14.7,14.7,2
2021-11-11,14,ABEO.FR,14.7,14.7,14.7,1
2021-11-11,15,ABEO.FR,14.7,14.7,14.7,1
2021-11-11,16,ABEO.FR,14.6,14.625,14.65,2
2021-11-11,17,ABEO.FR,14.75,14.85,14.9,6
2021-11-12,09,ABEO.FR,14.95,15.036363636363637,15.1,11
2021-11-12,10,ABEO.FR,15.05,15.058333333333332,15.1,6
2021-11-12,11,ABEO.FR,15.05,15.075,15.1,2
2021-11-12,12,ABEO.FR,15.1,15.1,15.1,2
2021-11-12,13,ABEO.FR,14.95,14.95,14.95,1
2021-11-12,14,ABEO.FR,15.0,15.040000000000001,15.1,5
2021-11-12,15,ABEO.FR,15.1,15.1,15.1,2
2021-11-12,16,ABEO.FR,14.95,14.9875,15.05,4
2021-11-12,17,ABEO.FR,14.95,14.975000000000001,15.0,4
2021-11-08,09,ABVX.FR,27.15,27.616666666666667,28.2,45
2021-11-08,10,ABVX.FR,27.15,27.37307692307693,27.6,13
2021-11-08,11,ABVX.FR,27.7,27.81875,27.95,8
2021-11-08,12,ABVX.FR,27.5,27.55,27.6,5
2021-11-08,13,ABVX.FR,27.4,27.51923076923077,27.65,13
2021-11-08,14,ABVX.FR,27.45,27.528571428571436,27.65,7
2021-11-08,15,ABVX.FR,27.4,27.549999999999997,27.7,6
2021-11-08,16,ABVX.FR,27.4,27.416666666666668,27.45,3
2021-11-08,17,ABVX.FR,27.4,27.4125,27.45,4
2021-11-09,09,ABVX.FR,27.0,27.216666666666665,27.5,24
2021-11-09,10,ABVX.FR,27.0,27.099999999999998,27.25,11
2021-11-09,11,ABVX.FR,27.1,27.204999999999995,27.35,10
2021-11-09,12,ABVX.FR,27.2,27.2,27.2,1
2021-11-09,13,ABVX.FR,27.2,27.21875,27.3,8
2021-11-09,14,ABVX.FR,27.15,27.233333333333338,27.3,6
2021-11-09,15,ABVX.FR,27.15,27.18125,27.35,16
2021-11-09,16,ABVX.FR,27.2,27.266666666666666,27.35,3
2021-11-09,17,ABVX.FR,27.1,27.185714285714287,27.3,14
2021-11-10,09,ABVX.FR,27.0,27.153124999999996,27.25,16
2021-11-10,10,ABVX.FR,26.55,26.832692307692305,27.0,26
2021-11-10,11,ABVX.FR,26.6,26.657142857142855,26.8,14
2021-11-10,12,ABVX.FR,26.6,26.684615384615384,26.85,13
2021-11-10,13,ABVX.FR,26.1,26.383823529411764,26.7,34
2021-11-10,14,ABVX.FR,26.2,26.32083333333333,26.45,24
2021-11-10,15,ABVX.FR,26.1,26.316666666666666,26.5,18
2021-11-10,16,ABVX.FR,26.35,26.503571428571423,26.65,14
2021-11-10,17,ABVX.FR,26.25,26.49,26.65,10
2021-11-11,09,ABVX.FR,26.2,26.335294117647056,26.5,17
2021-11-11,10,ABVX.FR,26.45,26.66923076923077,26.8,13
2021-11-11,11,ABVX.FR,26.65,26.76,26.8,5
2021-11-11,12,ABVX.FR,26.65,26.7,26.8,5
2021-11-11,13,ABVX.FR,26.65,26.8,26.9,12
2021-11-11,14,ABVX.FR,26.75,26.766666666666666,26.85,6
2021-11-11,15,ABVX.FR,26.85,26.902941176470588,27.0,17
2021-11-11,16,ABVX.FR,26.7,26.877272727272725,26.95,11
2021-11-11,17,ABVX.FR,26.85,26.977272727272727,27.0,22
2021-11-12,09,ABVX.FR,26.15,26.722222222222225,27.1,36
2021-11-12,10,ABVX.FR,26.75,26.860000000000003,27.05,10
2021-11-12,11,ABVX.FR,26.85,26.91875,27.0,8
2021-11-12,12,ABVX.FR,26.75,26.8,26.9,4
2021-11-12,13,ABVX.FR,26.85,26.911538461538463,27.0,13
2021-11-12,14,ABVX.FR,26.8,26.85,26.9,2
2021-11-12,15,ABVX.FR,26.3,26.596875,26.85,16
2021-11-12,16,ABVX.FR,26.25,26.35333333333334,26.45,15
2021-11-12,17,ABVX.FR,26.1,26.219444444444445,26.35,18
2021-11-08,09,ACA.FR,13.18,13.214760961810473,13.27,707
2021-11-08,10,ACA.FR,13.238,13.31057597173148,13.358,566
2021-11-08,11,ACA.FR,13.286,13.343626086956514,13.386,460
2021-11-08,12,ACA.FR,13.294,13.344940239043835,13.386,502
2021-11-08,13,ACA.FR,13.286,13.308492537313446,13.336,402
2021-11-08,14,ACA.FR,13.264,13.284958506224047,13.31,482
2021-11-08,15,ACA.FR,13.232,13.275126927639405,13.324,843
2021-11-08,16,ACA.FR,13.22,13.253502564102531,13.288,780
2021-11-08,17,ACA.FR,13.21,13.241156249999985,13.278,576
2021-11-09,09,ACA.FR,13.128,13.191421750663144,13.256,754
2021-11-09,10,ACA.FR,13.204,13.237692585895113,13.268,553
2021-11-09,11,ACA.FR,13.158,13.204543820224723,13.236,445
2021-11-09,12,ACA.FR,13.144,13.184833333333287,13.204,1344
2021-11-09,13,ACA.FR,13.168,13.179505208333309,13.196,384
2021-11-09,14,ACA.FR,13.158,13.171881481481497,13.19,540
2021-11-09,15,ACA.FR,13.068,13.139243414120104,13.176,949
2021-11-09,16,ACA.FR,13.046,13.087230255839804,13.12,899
2021-11-09,17,ACA.FR,13.086,13.09993600000001,13.112,500
2021-11-10,09,ACA.FR,12.822,12.974822440717166,13.218,1729
2021-11-10,10,ACA.FR,12.864,12.939787551867163,12.986,1205
2021-11-10,11,ACA.FR,12.898,12.94279305740989,12.982,749
2021-11-10,12,ACA.FR,12.952,12.97701391035549,13.01,647
2021-11-10,13,ACA.FR,12.864,12.90712014134278,12.978,566
2021-11-10,14,ACA.FR,12.87,12.898101468624843,12.95,749
2021-11-10,15,ACA.FR,12.872,12.903278989667083,12.938,871
2021-11-10,16,ACA.FR,12.832,12.86731178707222,12.916,1052
2021-11-10,17,ACA.FR,12.834,12.85959023066483,12.886,737
2021-11-11,09,ACA.FR,12.9,12.997903147699798,13.046,826
2021-11-11,10,ACA.FR,12.964,13.008442073170732,13.04,656
2021-11-11,11,ACA.FR,12.952,12.985336538461524,13.002,624
2021-11-11,12,ACA.FR,12.91,12.961675041876044,12.992,597
2021-11-11,13,ACA.FR,12.892,12.919064171123,12.944,374
2021-11-11,14,ACA.FR,12.88,12.907101075268795,12.93,465
2021-11-11,15,ACA.FR,12.89,12.927284313725501,12.966,612
2021-11-11,16,ACA.FR,12.938,12.965289510489496,13.002,715
2021-11-11,17,ACA.FR,12.892,12.920838383838417,12.956,594
2021-11-12,09,ACA.FR,12.722,12.78134609494639,12.942,1306
2021-11-12,10,ACA.FR,12.686,12.745546052631585,12.806,608
2021-11-12,11,ACA.FR,12.784,12.804762836185795,12.83,409
