DataStructure,Variant,WorkersNum,Mean
RDD,1,1,37.66635408401489
RDD,1,2,27.113973569869994
RDD,1,3,24.475249528884888
RDD,1,4,26.980969047546388
RDD,1,5,28.71597752571106
RDD,1,6,30.200550365448
RDD,1,7,29.468757247924806
RDD,1,8,33.383986949920654
RDD,1,9,33.881511497497556
DataFrame,1,1,7.032466316223145
DataFrame,1,2,5.156687450408936
DataFrame,1,3,4.975139999389649
DataFrame,1,4,5.387648010253907
DataFrame,1,5,5.756169605255127
DataFrame,1,6,5.954088020324707
DataFrame,1,7,6.016712236404419
DataFrame,1,8,7.096331453323364
DataFrame,1,9,7.039819765090942
