QueryNum,QueryVariant,DataStructure,WorkerNodeNum,Time
1,1,RDD,1,40.50733923912048
1,1,DataFrame,1,8.384363651275635
2,1,RDD,1,153.34769988059998
2,2,RDD,1,80.28055810928345
2,1,DataFrame,1,50.582552909851074
3,1,RDD,1,46.81553506851196
3,1,DataFrame,1,8.678611040115356
1,1,RDD,1,39.96619415283203
1,1,DataFrame,1,7.6316540241241455
2,1,RDD,1,150.63212895393372
2,2,RDD,1,77.5594437122345
2,1,DataFrame,1,44.04572916030884
3,1,RDD,1,44.22946095466614
3,1,DataFrame,1,8.602853536605835
1,1,RDD,1,38.043564558029175
1,1,DataFrame,1,6.943768501281738
2,1,RDD,1,149.49299597740173
2,2,RDD,1,80.02189087867737
2,1,DataFrame,1,46.67017984390259
3,1,RDD,1,44.99032807350159
3,1,DataFrame,1,8.850617170333862
1,1,RDD,1,38.98142099380493
1,1,DataFrame,1,7.1957385540008545
2,1,RDD,1,149.80248141288757
2,2,RDD,1,78.65698575973511
2,1,DataFrame,1,49.15179657936096
3,1,RDD,1,47.15395998954773
3,1,DataFrame,1,8.101802587509155
1,1,RDD,1,40.579867124557495
1,1,DataFrame,1,7.886148452758789
2,1,RDD,1,153.61383247375488
2,2,RDD,1,80.60097193717957
2,1,DataFrame,1,46.91520404815674
3,1,RDD,1,45.495856285095215
3,1,DataFrame,1,8.502987146377563
1,1,RDD,2,30.099077939987183
1,1,DataFrame,2,5.948724269866943
2,1,RDD,2,78.0654628276825
2,2,RDD,2,39.80623936653137
2,1,DataFrame,2,34.23931169509888
3,1,RDD,2,24.73097801208496
3,1,DataFrame,2,6.623448610305786
1,1,RDD,2,24.61885976791382
1,1,DataFrame,2,4.7151899337768555
2,1,RDD,2,77.31291651725769
2,2,RDD,2,40.764599084854126
2,1,DataFrame,2,33.4698371887207
3,1,RDD,2,24.08015012741089
3,1,DataFrame,2,5.941104173660278
1,1,RDD,2,29.85570740699768
1,1,DataFrame,2,4.671473503112793
2,1,RDD,2,76.00601506233215
2,2,RDD,2,39.97554421424866
2,1,DataFrame,2,28.45240807533264
3,1,RDD,2,23.632986307144165
3,1,DataFrame,2,5.223968505859375
1,1,RDD,2,23.573272943496704
1,1,DataFrame,2,4.543508291244507
2,1,RDD,2,75.91130185127258
2,2,RDD,2,43.572630405426025
2,1,DataFrame,2,32.89456748962402
3,1,RDD,2,26.668683528900146
3,1,DataFrame,2,6.086991310119629
1,1,RDD,2,27.014634609222412
1,1,DataFrame,2,5.207281827926636
2,1,RDD,2,78.14433264732361
2,2,RDD,2,41.38111162185669
2,1,DataFrame,2,32.28371524810791
3,1,RDD,2,24.084648609161377
3,1,DataFrame,2,6.755862236022949
1,1,RDD,3,27.14401912689209
1,1,DataFrame,3,6.684866905212402
2,1,RDD,3,55.572020053863525
2,2,RDD,3,32.881935596466064
2,1,DataFrame,3,30.217801332473755
3,1,RDD,3,18.068395137786865
3,1,DataFrame,3,6.629174470901489
1,1,RDD,3,28.774946928024292
1,1,DataFrame,3,4.487607717514038
2,1,RDD,3,56.04076623916626
2,2,RDD,3,30.010581731796265
2,1,DataFrame,3,35.5828001499176
3,1,RDD,3,17.745551586151123
3,1,DataFrame,3,5.20923638343811
1,1,RDD,3,27.573082208633423
1,1,DataFrame,3,4.433140516281128
2,1,RDD,3,55.15691089630127
2,2,RDD,3,28.287203311920166
2,1,DataFrame,3,28.232605934143066
3,1,RDD,3,17.704760789871216
3,1,DataFrame,3,5.924100875854492
1,1,RDD,3,25.75015115737915
1,1,DataFrame,3,5.065309762954712
2,1,RDD,3,55.662920236587524
2,2,RDD,3,28.40801978111267
2,1,DataFrame,3,27.625622272491455
3,1,RDD,3,16.426522731781006
3,1,DataFrame,3,4.796239137649536
1,1,RDD,3,26.40710163116455
1,1,DataFrame,3,5.615646600723267
2,1,RDD,3,54.81999683380127
2,2,RDD,3,28.878403425216675
2,1,DataFrame,3,33.12214994430542
3,1,RDD,3,17.067763566970825
3,1,DataFrame,3,4.795386791229248
1,1,RDD,4,25.93430733680725
1,1,DataFrame,4,6.011729955673218
2,1,RDD,4,45.715614557266235
2,2,RDD,4,25.829810857772827
2,1,DataFrame,4,36.30718421936035
3,1,RDD,4,15.035503149032593
3,1,DataFrame,4,6.301861047744751
1,1,RDD,4,28.069862604141235
1,1,DataFrame,4,4.9712207317352295
2,1,RDD,4,49.339311599731445
2,2,RDD,4,29.31550359725952
2,1,DataFrame,4,36.68730115890503
3,1,RDD,4,16.96018671989441
3,1,DataFrame,4,6.5011067390441895
1,1,RDD,4,26.597662687301636
1,1,DataFrame,4,5.117586851119995
2,1,RDD,4,48.802860736846924
2,2,RDD,4,30.29348850250244
2,1,DataFrame,4,35.02208876609802
3,1,RDD,4,16.543114185333252
3,1,DataFrame,4,6.355148077011108
1,1,RDD,4,28.527387380599976
1,1,DataFrame,4,4.867674112319946
2,1,RDD,4,51.51605463027954
2,2,RDD,4,27.25365710258484
2,1,DataFrame,4,30.855899572372437
3,1,RDD,4,15.692462921142578
3,1,DataFrame,4,5.305807113647461
1,1,RDD,4,23.470751523971558
1,1,DataFrame,4,4.449495792388916
2,1,RDD,4,47.646629333496094
2,2,RDD,4,26.93679666519165
2,1,DataFrame,4,30.9575674533844
3,1,RDD,4,15.540353298187256
3,1,DataFrame,4,5.020062208175659
1,1,RDD,5,28.830414533615112
1,1,DataFrame,5,6.128708839416504
2,1,RDD,5,49.078208208084106
2,2,RDD,5,33.105387687683105
2,1,DataFrame,5,44.84887981414795
3,1,RDD,5,17.866528272628784
3,1,DataFrame,5,7.679020881652832
1,1,RDD,5,29.310206651687622
1,1,DataFrame,5,5.43030571937561
2,1,RDD,5,49.97168684005737
2,2,RDD,5,23.952388525009155
2,1,DataFrame,5,37.142066955566406
3,1,RDD,5,15.305296897888184
3,1,DataFrame,5,6.288012504577637
1,1,RDD,5,32.42736554145813
1,1,DataFrame,5,5.210895299911499
2,1,RDD,5,51.39149475097656
2,2,RDD,5,29.90229296684265
2,1,DataFrame,5,45.85581660270691
3,1,RDD,5,16.38283061981201
3,1,DataFrame,5,4.969723701477051
1,1,RDD,5,25.967580318450928
1,1,DataFrame,5,5.133284330368042
2,1,RDD,5,47.90098285675049
2,2,RDD,5,27.0160710811615
2,1,DataFrame,5,37.022698402404785
3,1,RDD,5,13.846000909805298
3,1,DataFrame,5,6.3984534740448
1,1,RDD,5,30.01307463645935
1,1,DataFrame,5,5.287415504455566
2,1,RDD,5,51.55304527282715
2,2,RDD,5,31.308290481567383
2,1,DataFrame,5,45.73227024078369
3,1,RDD,5,15.788546085357666
3,1,DataFrame,5,5.061066627502441
1,1,RDD,6,35.07952284812927
1,1,DataFrame,6,7.372292518615723
2,1,RDD,6,96.88682913780212
2,2,RDD,6,42.94987893104553
2,1,DataFrame,6,45.944637060165405
3,1,RDD,6,18.973037004470825
3,1,DataFrame,6,6.759927272796631
1,1,RDD,6,28.830241680145264
1,1,DataFrame,6,5.4251744747161865
2,1,RDD,6,49.77891826629639
2,2,RDD,6,29.3176052570343
2,1,DataFrame,6,48.644699811935425
3,1,RDD,6,16.260103225708008
3,1,DataFrame,6,5.934672594070435
1,1,RDD,6,28.565606117248535
1,1,DataFrame,6,5.047431468963623
2,1,RDD,6,46.95009732246399
2,2,RDD,6,28.738607168197632
2,1,DataFrame,6,44.21922755241394
3,1,RDD,6,15.308727741241455
3,1,DataFrame,6,5.365885019302368
1,1,RDD,6,26.88728404045105
1,1,DataFrame,6,5.049813508987427
2,1,RDD,6,47.19841694831848
2,2,RDD,6,25.724337339401245
2,1,DataFrame,6,40.7199764251709
3,1,RDD,6,14.678905248641968
3,1,DataFrame,6,5.357993841171265
1,1,RDD,6,28.887399196624756
1,1,DataFrame,6,5.291894912719727
2,1,RDD,6,47.98116755485535
2,2,RDD,6,26.568887948989868
2,1,DataFrame,6,40.03866791725159
3,1,RDD,6,14.16843843460083
3,1,DataFrame,6,5.243613958358765
1,1,RDD,7,26.47722315788269
1,1,DataFrame,7,7.36418890953064
2,1,RDD,7,41.135552167892456
2,2,RDD,7,18.889503717422485
2,1,DataFrame,7,43.920149087905884
3,1,RDD,7,11.733375072479248
3,1,DataFrame,7,5.917203426361084
1,1,RDD,7,27.56885075569153
1,1,DataFrame,7,5.73217511177063
2,1,RDD,7,45.77268052101135
2,2,RDD,7,26.40936303138733
2,1,DataFrame,7,44.85903716087341
3,1,RDD,7,14.514514923095703
3,1,DataFrame,7,5.453331708908081
1,1,RDD,7,27.378395557403564
1,1,DataFrame,7,5.259563207626343
2,1,RDD,7,46.14889454841614
2,2,RDD,7,26.8155996799469
2,1,DataFrame,7,42.78718686103821
3,1,RDD,7,14.388700008392334
3,1,DataFrame,7,5.4357218742370605
1,1,RDD,7,27.68256688117981
1,1,DataFrame,7,5.179036378860474
2,1,RDD,7,46.80023241043091
2,2,RDD,7,25.539446115493774
2,1,DataFrame,7,43.526673555374146
3,1,RDD,7,15.043211460113525
3,1,DataFrame,7,5.193897485733032
1,1,RDD,7,26.129892587661743
1,1,DataFrame,7,4.860159635543823
2,1,RDD,7,44.38280177116394
2,2,RDD,7,24.565285444259644
2,1,DataFrame,7,44.19325876235962
3,1,RDD,7,15.038020849227905
3,1,DataFrame,7,6.000894069671631
1,1,RDD,8,26.8349027633667
1,1,DataFrame,8,7.6848368644714355
2,1,RDD,8,44.73199415206909
2,2,RDD,8,18.592880487442017
2,1,DataFrame,8,49.48009777069092
3,1,RDD,8,11.608068466186523
3,1,DataFrame,8,6.31782865524292
1,1,RDD,8,29.048950672149658
1,1,DataFrame,8,5.49956750869751
2,1,RDD,8,47.06891107559204
2,2,RDD,8,25.746443271636963
2,1,DataFrame,8,48.775346994400024
3,1,RDD,8,14.983152389526367
3,1,DataFrame,8,5.510478734970093
1,1,RDD,8,27.995237350463867
1,1,DataFrame,8,5.79365873336792
2,1,RDD,8,47.94809079170227
2,2,RDD,8,27.3801851272583
2,1,DataFrame,8,48.33667612075806
3,1,RDD,8,14.392496109008789
3,1,DataFrame,8,5.308499813079834
1,1,RDD,8,29.271559476852417
1,1,DataFrame,8,5.749258279800415
2,1,RDD,8,47.57362508773804
2,2,RDD,8,26.49705958366394
2,1,DataFrame,8,47.88989019393921
3,1,RDD,8,14.46025013923645
3,1,DataFrame,8,5.317617654800415
1,1,RDD,8,28.58133029937744
1,1,DataFrame,8,5.810673713684082
